Object,Object Type ID,Property label,Internal name,Type,Field type,Read only,Unique lookup property,Categories,Options,Pipeline stages
Contact,0-1,First marketing email open date,hs_email_first_open_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,First marketing email reply date,hs_email_first_reply_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,First marketing email send date,hs_email_first_send_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,First Name,firstname,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,GDPR / CAN-SPAM Consent,gdpr_consent,bool,,False,False,consent_and_suppression;explicit_a2_candidate,Yes [true]; No [false],
Contact,0-1,Has Active Resale Horse,owner_resale_flag,bool,,False,False,equine_and_professional;ownership_and_routing,Yes [true]; No [false],
Contact,0-1,Has been enriched,hs_is_enriched,bool,,True,False,explicit_a2_candidate;quality_and_enrichment,Yes [true]; No [false],
Contact,0-1,Horse Breed(s),owner_breeds,enumeration,,False,False,equine_and_professional;explicit_a2_candidate;ownership_and_routing,Thoroughbred [Thoroughbred]; QH [QH]; Warmblood [Warmblood]; Saddlebred [Saddlebred]; Mixed [Mixed]; Other [Other],
Contact,0-1,Horse Count Range,horse_count_range,enumeration,,False,False,equine_and_professional;explicit_a2_candidate,1 horse [1 horse]; 2 - 4 horses [2 - 4 horses]; 5 - 20 horses [5 - 20 horses]; 11 - 25 horses [11 - 25 horses]; 26 - 50 horses [26 - 50 horses]; 50+ horses [50+ horses],
Contact,0-1,Horse Passports Created,owner_passports_created,number,,False,False,equine_and_professional;ownership_and_routing,,
Contact,0-1,Horses on Platform,horses_served_platform,number,,False,False,equine_and_professional,,
Contact,0-1,Horses Served / Month,farrier_horses_served,number,,False,False,equine_and_professional;explicit_a2_candidate,,
Contact,0-1,HubSpot Team,hubspot_team_id,enumeration,,True,False,explicit_a2_candidate;ownership_and_routing,EQUINET Team [157764626]; Mustad USA Sales Team [184279571],
Contact,0-1,I agree to receive communications via text.,text_communication_opt_in,bool,,False,False,consent_and_suppression,True [true]; False [false],
Contact,0-1,I agree to receive communications via the EQUINET app.,equinet_app_communication_opt_in,bool,,False,False,consent_and_suppression,True [true]; False [false],
Contact,0-1,ID of first engagement,hs_first_engagement_object_id,number,,True,False,activity_and_freshness,,
Contact,0-1,Intent Signals active,hs_intent_signals_enabled,bool,,True,False,qualification_and_score,Yes [true]; No [false],
Contact,0-1,Invalid email address,hs_email_bad_address,bool,,True,False,identity_and_contact;quality_and_enrichment,True [true]; False [false],
Contact,0-1,Invited By (Owner),equinet_invited_by,string,,False,False,ownership_and_routing,,
Contact,0-1,IP City,ip_city,string,,True,False,identity_and_contact,,
Contact,0-1,IP Country,ip_country,string,,True,False,identity_and_contact,,
Contact,0-1,IP Country Code,ip_country_code,string,,True,False,identity_and_contact,,
Contact,0-1,IP State Code/Region Code,ip_state_code,string,,True,False,identity_and_contact,,
Contact,0-1,IP State/Region,ip_state,string,,True,False,identity_and_contact,,
Contact,0-1,Job Title,jobtitle,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,Journey Stage,hs_journey_stage,enumeration,,False,False,qualification_and_score,New Contact [new_contact]; In Nurturing [in_nurturing]; Low-Intent [low_intent]; Mid-Intent [mid_intent]; High-Intent [high_intent]; Unqualified [unqualified]; Qualified [qualified]; Onboarding [onboarding]; Post Onboarding [post_onboarding]; Engaged [engaged]; Unengaged [unengaged],
Contact,0-1,KAEP Member,vet_kaep_member,bool,,False,False,equine_and_professional,Yes [true]; No [false],
Contact,0-1,Last Activity Date,notes_last_updated,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Last App Activity Date,user_last_active_at,datetime,,False,False,activity_and_freshness,,
Contact,0-1,Last Contacted,notes_last_contacted,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Last Engagement Date,hs_last_sales_activity_timestamp,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Last Field Visit Date,farrier_last_visit_date,date,,False,False,equine_and_professional,,
Contact,0-1,Last marketing email click date,hs_email_last_click_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,Last marketing email name,hs_email_last_email_name,string,,True,False,identity_and_contact,,
Contact,0-1,Last marketing email open date,hs_email_last_open_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,Last marketing email reply date,hs_email_last_reply_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,Last marketing email send date,hs_email_last_send_date,datetime,,True,False,identity_and_contact,,
Contact,0-1,Last Modified Date,lastmodifieddate,datetime,,True,False,activity_and_freshness,,
Contact,0-1,Last Name,lastname,string,,False,False,explicit_a2_candidate;identity_and_contact,,
Contact,0-1,"Latest time in ""Customer (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_customer,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Evangelist (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_evangelist,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Lead (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_lead,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Marketing Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_marketingqualifiedlead,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Opportunity (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_opportunity,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Sales Qualified Lead (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_salesqualifiedlead,number,,True,False,customer_and_exclusion,,
Contact,0-1,"Latest time in ""Subscriber (Lifecycle Stage Pipeline)""",hs_v2_latest_time_in_subscriber,number,,True,False,customer_and_exclusion,,
Contact,0-1,Lead Source,lead_source,enumeration,,False,False,explicit_a2_candidate,App Registrations [App Registrations]; Meta Ads [Meta Ads]; Google Ads [Google Ads]; Referral [Referral]; Association [Association]; Rep [Rep]; QR code [QR code]; Web [Web]; Other [Other],
Contact,0-1,Lead Source Farrier,farrier_lead_source,enumeration,,False,False,equine_and_professional,Rep [Rep]; Trade Show [Trade Show]; Association [Association]; Web [Web]; Referral [Referral]; Import [Import],
Contact,0-1,Lead Status,hs_lead_status,enumeration,,False,False,customer_and_exclusion;explicit_a2_candidate,New [NEW]; Open [OPEN]; In Progress [IN_PROGRESS]; Open Deal [OPEN_DEAL]; Unqualified [UNQUALIFIED]; Attempted to Contact [ATTEMPTED_TO_CONTACT]; Connected [CONNECTED]; Bad Timing [BAD_TIMING],
Contact,0-1,Legal basis for processing contact's data,hs_legal_basis,enumeration,,False,False,consent_and_suppression;explicit_a2_candidate,Legitimate interest - Lead [Legitimate interest – prospect/lead]; Legitimate interest - Customer [Legitimate interest – existing customer]; Legitimate interest - Other [Legitimate interest - other]; Performance of a contract [Performance of a contract]; Freely given consent from contact [Freely given consent from contact]; Not applicable [Not applicable],
Contact,0-1,Lifecycle Stage,lifecyclestage,enumeration,,False,False,customer_and_exclusion;explicit_a2_candidate,,Lifecycle Stage Pipeline > Lead [lead]; Lifecycle Stage Pipeline > Marketing Qualified Lead [marketingqualifiedlead]; Lifecycle Stage Pipeline > Sales Qualified Lead [salesqualifiedlead]; Lifecycle Stage Pipeline > Opportunity [opportunity]; Lifecycle Stage Pipeline > Customer [customer]; Lifecycle Stage Pipeline > Evangelist [evangelist]; Lifecycle Stage Pipeline > Subscriber [subscriber]
Contact,0-1,Likelihood to close,hs_predictivecontactscore_v2,number,,True,False,explicit_a2_candidate;qualification_and_score,,
Contact,0-1,LinkedIn URL,hs_linkedin_url,string,,False,False,explicit_a2_candidate,,
Contact,0-1,MAP Enrollment Date,farrier_fap_enrollment_date,date,,False,False,equine_and_professional,,
Contact,0-1,MAP Primary Discipline,map_primary_discipline,enumeration,,False,False,equine_and_professional,Recreation/Backyard [Recreation/Backyard]; Western [Western]; English Sport [English Sport]; Racing [Racing]; Therapeutic [Therapeutic]; Work [Work]; Other [Other],
Contact,0-1,Marketing contact status,hs_marketable_status,enumeration,,True,False,consent_and_suppression;explicit_a2_candidate,Marketing contact [true]; Non-marketing contact [false],
Contact,0-1,Marketing contact status source name,hs_marketable_reason_id,string,,True,False,consent_and_suppression;identity_and_contact,,
