canonical_record_sha256,event_id,event_type,timestamp,actor_id,actor_role,model,tools_json,input_references_json,output_references_json,external_action_state,external_action_reference,usage_json
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-EVENT-INIT_5DC8D468C11B265DA37B_001,canonical_record_initialised,2026-08-30T10:42:31Z,UNITALK-A2-INITIALISER,A2 Deterministic Initialiser,,"[""initialize_a2_record.py""]","[""A1A2-PILOT-RR-PODIATRY-001"",""5dc8d468c11b265da37b68df3cd80c07580a9cabe884ffc77a10e4b7636a8b88""]","[""A2-REV-INIT_4C254395651AB18F9D49_001""]",,,null
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-EVENT-STEP8-RR-002,workflow_enrichment_planned,2026-08-30T13:20:47Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,,"[""deterministic-step8-canonical-builder""]","[""A2-REV-INIT_4C254395651AB18F9D49_001""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_002""]",,,null
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-EVENT-STEP8-RR-003,workflow_enrichment_in_progress,2026-08-30T13:20:48Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,,"[""deterministic-recovery-from-approved-stored-pages"",""build_step8_collection_receipt.py"",""normalise_and_validate_a2_observations.py"",""evaluate_a2_evidence_confidence.py"",""evaluate_a2_minimum_package.py""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_002""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_003""]",,,"{""api_calls"":0,""cost_amount"":null,""cost_status"":""unknown"",""credits"":null,""currency"":""USD"",""input_tokens"":null,""output_tokens"":null,""total_tokens"":null}"
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-EVENT-STEP8-RR-004,workflow_review_required,2026-08-30T13:20:49Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,,"[""deterministic-step8-canonical-builder""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_003""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_004""]",,,null
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-EVENT-STEP8-RR-005,workflow_record_held,2026-08-30T13:50:40Z,UNITALK-SEVERINE-STEP8,Unitalk Operations A2 Pilot Reviewer,,"[""deterministic-final-review-recorder""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_004"",""user_decision_2026-08-30T13:50:40Z""]","[""A2-REV-STEP8_5DC8D468C11B265DA37B_005"",""evaluations/step8/pilot/A1-RR-PODIATRY-001/final-review-decision.json""]",,,null
