canonical_record_sha256,event_id,event_type,timestamp,actor_id,actor_role,model,tools_json,input_references_json,output_references_json,external_action_state,external_action_reference,usage_json
f125a7354e5b4635cfd352bc51ff3bed16ff5a0e0485189275685e8bdaa1ad6d,A2-EVENT-INIT_D21BC65DDC16BB6B66F3_001,canonical_record_initialised,2026-08-30T10:42:31Z,UNITALK-A2-INITIALISER,A2 Deterministic Initialiser,,"[""initialize_a2_record.py""]","[""A1A2-PILOT-DARLEY-JONABELL-001"",""d21bc65ddc16bb6b66f367b0bce19b27a8f30f9face4f61470ee1c26ec1672d4""]","[""A2-REV-INIT_87BFA8853FF7180C3F26_001""]",,,null
f125a7354e5b4635cfd352bc51ff3bed16ff5a0e0485189275685e8bdaa1ad6d,A2-EVENT-STEP8-JONABELL-002,workflow_enrichment_planned,2026-08-30T12:32:00Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,,"[""deterministic-step8-canonical-builder""]","[""A2-REV-INIT_87BFA8853FF7180C3F26_001""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_002""]",,,null
f125a7354e5b4635cfd352bc51ff3bed16ff5a0e0485189275685e8bdaa1ad6d,A2-EVENT-STEP8-JONABELL-003,workflow_enrichment_in_progress,2026-08-30T12:33:00Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,deepseek-v4-flash,"[""Unitalk AI Collaborator"",""build_step8_collection_receipt.py"",""normalise_and_validate_a2_observations.py"",""evaluate_a2_evidence_confidence.py""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_002""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_003""]",,,"{""api_calls"":1,""cost_amount"":null,""cost_status"":""unknown"",""credits"":null,""currency"":""USD"",""input_tokens"":null,""output_tokens"":null,""total_tokens"":null}"
f125a7354e5b4635cfd352bc51ff3bed16ff5a0e0485189275685e8bdaa1ad6d,A2-EVENT-STEP8-JONABELL-004,workflow_review_required,2026-08-30T12:34:00Z,UNITALK-A2-STEP8,A2 Bounded Pilot Runtime,,"[""deterministic-step8-canonical-builder""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_003""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_004""]",,,null
f125a7354e5b4635cfd352bc51ff3bed16ff5a0e0485189275685e8bdaa1ad6d,A2-EVENT-STEP8-JONABELL-005,workflow_record_approved,2026-08-30T13:10:32Z,UNITALK-SEVERINE-STEP8,Unitalk Operations A2 Pilot Reviewer,,"[""deterministic-final-review-recorder""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_004"",""user_decision_2026-08-30T13:10:32Z""]","[""A2-REV-STEP8_D21BC65DDC16BB6B66F3_005"",""evaluations/step8/pilot/A1-DARLEY-JONABELL-001/final-review-decision.json""]",,,null
